metric,label,dir,method,n,mean,std,median,q1,q3,floor_p95
rpeak_mae_ms,R-peak MAE [ms],↓,M04np,22,2.6373269298033852,4.294000311874306,1.362951281217947,0.7886323763955344,1.7991489623203,0.0456965394853594
rpeak_mae_ms,R-peak MAE [ms],↓,M05,22,2.78030345006982,4.346177506437873,1.340218015280278,0.9175215068401543,1.557502466863645,0.0456965394853594
rpeak_mae_ms,R-peak MAE [ms],↓,M05f,22,3.093773319216176,4.457817068114254,1.5501548358229345,0.9588592634995785,2.2354175587323533,0.0456965394853594
rpeak_mae_ms,R-peak MAE [ms],↓,M06,22,2.445166393417941,4.491674548957976,1.1169028340080973,0.8394113934351319,1.4688204168434384,0.0456965394853594
rpeak_mae_ms,R-peak MAE [ms],↓,M07,22,2.37396375312354,4.286681546601049,1.0664146505376344,0.9026589028336102,1.3216568852692976,0.0456965394853594
rpeak_mae_ms,R-peak MAE [ms],↓,M08,22,2.3455340490566017,4.232660836816469,1.0613985061108129,0.8375480086584839,1.3668425500920396,0.0456965394853594
rpeak_mae_ms,R-peak MAE [ms],↓,M_FE,22,2.635048595778998,4.307710166289524,1.3699432702951442,0.7886323763955344,1.7937860683704496,0.0456965394853594
qrs_dur_err_ms,QRS duration error [ms],↓,B01,22,17.98237854379406,11.901776020760762,16.046390639876556,8.162672930562492,29.95411881055809,28.072097560975607
qrs_dur_err_ms,QRS duration error [ms],↓,B02,22,17.848202076096406,11.102217041260804,17.985918105540534,10.67932035148094,25.415379373857462,28.072097560975607
qrs_dur_err_ms,QRS duration error [ms],↓,M00,22,35.500368905352964,28.46822162465968,32.53983285233285,14.490106544901066,42.689296268373965,28.072097560975607
qrs_dur_err_ms,QRS duration error [ms],↓,M01,22,20.2762339366959,12.40380524809429,20.63354681506634,10.641057007598361,31.410488309776166,28.072097560975607
qrs_dur_err_ms,QRS duration error [ms],↓,M02,22,26.848576488453897,11.64033521367647,27.97361924567807,17.611609027249266,36.26690932556065,28.072097560975607
qrs_dur_err_ms,QRS duration error [ms],↓,M03,22,33.53391768685264,16.957847918751956,37.39192015155567,22.069605062185122,41.194660578072614,28.072097560975607
qrs_dur_err_ms,QRS duration error [ms],↓,M04,22,18.989375022054553,13.994587875855297,16.88540558667893,5.97724652905574,29.284457610448662,28.072097560975607
qrs_dur_err_ms,QRS duration error [ms],↓,M04np,22,18.989375022054553,13.994587875855297,16.88540558667893,5.97724652905574,29.284457610448662,28.072097560975607
