snr_in,method,metric,n,mean,std,median,baseline_mean,delta_mean,stat,p,effect_r,p_holm
0.0,M04,snr_imp_scaled,22,9.036588791689438,3.08288647777267,8.419226818983127,8.056147262623442,0.9804415290659926,21.0,0.00021314620971679688,0.83399209486166,0.0012788772583007812
0.0,M04np,snr_imp_scaled,22,8.742222839106093,2.902963825118332,8.640342346383285,8.056147262623442,0.6860755764826519,19.0,0.00014638900756835938,0.849802371541502,0.0010247230529785156
0.0,M03,snr_imp_scaled,22,8.008198466595019,2.630113166664819,8.343543681467867,8.056147262623442,-0.04794879602842203,94.0,0.30530881881713867,-0.25691699604743085,0.915926456451416
0.0,M05f,snr_imp_scaled,22,7.896070146640176,2.3239537358190936,8.00210168730272,8.056147262623442,-0.16007711598326646,101.0,0.42448854446411133,-0.2015810276679842,0.915926456451416
0.0,M02,snr_imp_scaled,22,7.604456981826624,2.1812518354282298,7.85066624242098,8.056147262623442,-0.45169028079681656,94.0,0.30530881881713867,-0.25691699604743085,0.915926456451416
0.0,M_FE,snr_imp_scaled,22,7.208618926981376,3.19467789873057,6.332605804185867,8.056147262623442,-0.8475283356420654,79.0,0.12888002395629883,-0.37549407114624506,0.5155200958251953
0.0,M00,snr_imp_scaled,22,3.00230017396548,0.13080675845909356,2.980867577109196,8.056147262623442,-5.053847088657961,0.0,4.76837158203125e-07,-1.0,6.67572021484375e-06
5.0,M08,snr_imp_scaled,22,13.603245231486431,3.8663205784083896,13.920335633837368,6.625022166075059,6.978223065411371,0.0,4.76837158203125e-07,1.0,6.67572021484375e-06
5.0,M06,snr_imp_scaled,22,13.451806251336423,3.895740726190235,14.101744463548762,6.625022166075059,6.826784085261362,1.0,9.5367431640625e-07,0.9920948616600791,9.5367431640625e-06
5.0,M07,snr_imp_scaled,22,12.70756196496306,3.571617913776158,13.009636721451013,6.625022166075059,6.082539798888002,1.0,9.5367431640625e-07,0.9920948616600791,9.5367431640625e-06
5.0,M10,snr_imp_scaled,22,12.671386225911418,3.8962790322214342,13.1936317224818,6.625022166075059,6.046364059836358,2.0,1.430511474609375e-06,0.9841897233201581,1.1444091796875e-05
5.0,B01,snr_imp_scaled,22,11.31364807258346,3.8736674425665902,11.209503772290354,6.625022166075059,4.688625906508401,0.0,4.76837158203125e-07,1.0,6.67572021484375e-06
5.0,B02,snr_imp_scaled,22,9.838010543066373,3.9616100849556366,9.448959209909535,6.625022166075059,3.212988376991312,0.0,4.76837158203125e-07,1.0,6.67572021484375e-06
5.0,M04,snr_imp_scaled,22,8.334284789241352,3.1452755172663496,8.088836180606108,6.625022166075059,1.7092626231662926,9.0,1.5735626220703125e-05,0.9288537549407114,0.00011014938354492188
5.0,M04np,snr_imp_scaled,22,7.928383794815704,3.079216432160284,8.234205781444563,6.625022166075059,1.303361628740646,20.0,0.00017690658569335938,0.841897233201581,0.0010614395141601562
5.0,M05,snr_imp_scaled,22,7.526134248854418,2.846773679813607,7.976878543243066,6.625022166075059,0.9011120827793578,86.0,0.19821882247924805,0.3201581027667984,0.5946564674377441
5.0,M03,snr_imp_scaled,22,6.820356019125653,2.8421541003821633,7.089210009208837,6.625022166075059,0.19533385305059248,113.0,0.6788630485534668,-0.1067193675889328,1.0
5.0,M_FE,snr_imp_scaled,22,6.262741927156089,3.4625028262303137,5.465700364898472,6.625022166075059,-0.3622802389189705,108.0,0.5660676956176758,-0.14624505928853754,1.0
5.0,M05f,snr_imp_scaled,22,5.722263829988568,2.2906003504719235,6.368196276331986,6.625022166075059,-0.9027583360864907,52.0,0.014094829559326172,-0.5889328063241107,0.05637931823730469
5.0,M02,snr_imp_scaled,22,5.395087988899745,2.6098230438554237,5.202223328878039,6.625022166075059,-1.2299341771753147,42.0,0.004684925079345703,-0.6679841897233202,0.023424625396728516
5.0,M00,snr_imp_scaled,22,1.196628637548303,0.06671595618817659,1.1794201123560761,6.625022166075059,-5.4283935285267555,0.0,4.76837158203125e-07,-1.0,6.67572021484375e-06
10.0,M08,snr_imp_scaled,22,11.319792919843188,3.9420500610063187,11.563963627657156,5.121898987713764,6.197893932129424,0.0,4.76837158203125e-07,1.0,6.67572021484375e-06
10.0,M06,snr_imp_scaled,22,10.797877747310169,3.9850923410992967,11.053690458962427,5.121898987713764,5.675978759596404,1.0,9.5367431640625e-07,0.9920948616600791,1.049041748046875e-05
10.0,B01,snr_imp_scaled,22,10.615506064046318,3.6260061239512726,10.562992213103744,5.121898987713764,5.493607076332552,0.0,4.76837158203125e-07,1.0,6.67572021484375e-06
10.0,M10,snr_imp_scaled,22,9.670091901687629,4.216360511056312,10.517511232883841,5.121898987713764,4.548192913973864,6.0,6.67572021484375e-06,0.9525691699604744,4.673004150390625e-05
10.0,M07,snr_imp_scaled,22,9.553106796681115,3.744575909879254,10.154700630331513,5.121898987713764,4.4312078089673514,4.0,3.337860107421875e-06,0.9683794466403162,3.0040740966796875e-05
10.0,B02,snr_imp_scaled,22,8.42487241353358,3.509932892194416,8.237051305355601,5.121898987713764,3.302973425819816,0.0,4.76837158203125e-07,1.0,6.67572021484375e-06
10.0,M04,snr_imp_scaled,22,8.019477577052601,3.1371633173080804,8.061061614580217,5.121898987713764,2.897578589338837,2.0,1.430511474609375e-06,0.9841897233201581,1.430511474609375e-05
10.0,M04np,snr_imp_scaled,22,7.416532965951921,3.161501668013464,7.882050825070168,5.121898987713764,2.294633978238156,16.0,8.058547973632812e-05,0.8735177865612648,0.0004029273986816406
10.0,M_FE,snr_imp_scaled,22,5.872404708754286,3.5552488501857034,5.119877502753283,5.121898987713764,0.7505057210405206,111.0,0.6327285766601562,0.1225296442687747,1.0
10.0,M03,snr_imp_scaled,22,5.78626585957754,3.0354782346328593,5.956755858443961,5.121898987713764,0.664366871863776,107.0,0.5445904731750488,0.1541501976284585,1.0
10.0,M05,snr_imp_scaled,22,5.320933474436976,2.470988838921413,5.661889800451126,5.121898987713764,0.19903448672321053,118.0,0.7990336418151855,-0.06719367588932806,1.0
10.0,M05f,snr_imp_scaled,22,3.124772154170063,2.250858497636123,3.1050022626158857,5.121898987713764,-1.9971268335437011,34.0,0.0016727447509765625,-0.7312252964426877,0.00669097900390625
10.0,M02,snr_imp_scaled,22,2.712143821427514,3.303474101418924,2.5089729028990213,5.121898987713764,-2.40975516628625,9.0,1.5735626220703125e-05,-0.9288537549407114,9.441375732421875e-05
10.0,M00,snr_imp_scaled,22,0.4216528952855137,0.028896222706143768,0.4136312695769897,5.121898987713764,-4.700246092428252,4.0,3.337860107421875e-06,-0.9683794466403162,3.0040740966796875e-05
15.0,B01,snr_imp_scaled,22,9.933773033392312,3.231034933634324,10.137630608466695,3.16556090927357,6.768212124118741,0.0,4.76837158203125e-07,1.0,6.67572021484375e-06
15.0,M08,snr_imp_scaled,22,8.669783012361206,4.073406406411378,8.863247696489783,3.16556090927357,5.504222103087637,1.0,9.5367431640625e-07,0.9920948616600791,1.049041748046875e-05
15.0,M04,snr_imp_scaled,22,7.7690822784679945,3.071530389519261,8.016975341790772,3.16556090927357,4.603521369194424,0.0,4.76837158203125e-07,1.0,6.67572021484375e-06
15.0,M06,snr_imp_scaled,22,7.648222449968807,4.192364427641406,8.303929938224016,3.16556090927357,4.482661540695236,3.0,2.384185791015625e-06,0.9762845849802372,1.9073486328125e-05
15.0,B02,snr_imp_scaled,22,7.480070673282612,3.200761947617931,7.126732553987322,3.16556090927357,4.314509764009042,0.0,4.76837158203125e-07,1.0,6.67572021484375e-06
15.0,M04np,snr_imp_scaled,22,6.974697015429424,3.3095160677165727,7.791708372722269,3.16556090927357,3.809136106155853,2.0,1.430511474609375e-06,0.9841897233201581,1.2874603271484375e-05
15.0,M10,snr_imp_scaled,22,6.164093786989926,4.579921861250025,7.477365281542168,3.16556090927357,2.9985328777163556,29.0,0.0008091926574707031,0.7707509881422925,0.004045963287353516
15.0,M07,snr_imp_scaled,22,6.020752262898079,3.9263080128834433,6.704245938262234,3.16556090927357,2.855191353624508,12.0,3.337860107421875e-05,0.9051383399209486,0.00023365020751953125
15.0,M_FE,snr_imp_scaled,22,5.679161284831481,3.552089039377723,4.89963576894854,3.16556090927357,2.513600375557911,73.0,0.08540916442871094,0.42292490118577075,0.17081832885742188
15.0,M03,snr_imp_scaled,22,4.587003044548007,3.382628382644416,4.321285833626002,3.16556090927357,1.4214421352744362,84.0,0.1761918067932129,0.3359683794466403,0.1761918067932129
15.0,M05,snr_imp_scaled,22,2.0240242819403003,2.303828791517633,2.0185867915880014,3.16556090927357,-1.1415366273332699,65.0,0.046160221099853516,-0.48616600790513836,0.13848066329956055
15.0,M00,snr_imp_scaled,22,0.14378217386180514,0.013469457680193992,0.14169032844273932,3.16556090927357,-3.021778735411765,33.0,0.0014548301696777344,-0.7391304347826086,0.0058193206787109375
15.0,M05f,snr_imp_scaled,22,-0.4883348989867633,2.3292889879391083,-0.5542847114623894,3.16556090927357,-3.653895808260334,23.0,0.0003046989440917969,-0.8181818181818182,0.0018281936645507812
15.0,M02,snr_imp_scaled,22,-0.6788527584960177,4.109902329850714,-0.4668387752691854,3.16556090927357,-3.844413667769588,1.0,9.5367431640625e-07,-0.9920948616600791,1.049041748046875e-05
20.0,B01,snr_imp_scaled,22,9.430398006625653,2.8860517129335332,9.955813455184966,0.5989500832609943,8.831447923364657,0.0,4.76837158203125e-07,1.0,6.67572021484375e-06
