method,metric,n,mean,std,median,baseline_mean,delta_mean,stat,p,effect_r,p_holm
M06,rpeak_mae_ms,22,8.55706542004752,5.801835761434072,7.7052079966421925,8.695154721729812,-0.13808930168229233,76.0,0.1054534912109375,-0.39920948616600793,1.0
M09,rpeak_mae_ms,22,8.488977630229263,5.817079799885881,7.063856047657721,8.695154721729812,-0.20617709150054908,77.0,0.11287164688110352,-0.391304347826087,1.0
M10,rpeak_mae_ms,22,8.461386320565992,5.772677207974507,7.178141309879595,8.695154721729812,-0.2337684011638208,77.0,0.18084118136338856,-0.3333333333333333,1.0
M05,qrs_dur_err_ms,21,30.57778829136542,24.951337684309014,18.445111377884487,14.910919650855956,15.66686864050946,56.0,0.038437843322753906,0.5151515151515151,0.5765676498413086
M07,qrs_dur_err_ms,21,21.516350763804567,17.062564968662194,17.982334869431643,14.910919650855956,6.605431112948606,62.0,0.06464958190917969,0.46320346320346323,0.9050941467285156
M05f,qrs_dur_err_ms,21,20.22053002478657,13.795104661654335,16.584193651497756,14.910919650855956,5.309610373930612,79.0,0.21568012237548828,0.31601731601731603,1.0
M02,qrs_dur_err_ms,21,18.22800138311687,12.992154331277463,10.401412330240447,14.910919650855956,3.317081732260912,72.0,0.1372833251953125,0.37662337662337664,1.0
M03,qrs_dur_err_ms,21,17.680710824829685,12.871579355381554,12.459560749804652,14.910919650855956,2.7697911739737284,77.0,0.1906871795654297,0.3333333333333333,1.0
M06,qrs_dur_err_ms,21,17.49200356348441,15.605265505493394,12.952107279693486,14.910919650855956,2.581083912628453,90.0,0.39258384704589844,0.22077922077922077,1.0
M09,qrs_dur_err_ms,21,16.11708558256697,16.374387737413013,10.255031922970447,14.910919650855956,1.2061659317110098,100.0,0.6091489791870117,0.1341991341991342,1.0
M10,qrs_dur_err_ms,21,15.65792294895208,16.16414756652561,11.409973123549712,14.910919650855956,0.7470032980961216,97.0,0.539189338684082,0.16017316017316016,1.0
M00,qrs_dur_err_ms,21,15.519925200362964,15.373298504699966,11.019607843137253,14.910919650855956,0.6090055495070078,113.0,0.945744514465332,0.021645021645021644,1.0
M08,qrs_dur_err_ms,21,13.992760785631603,14.097488184705155,7.910434530506002,14.910919650855956,-0.9181588652243542,105.0,0.7334699630737305,-0.09090909090909091,1.0
M04np,qrs_dur_err_ms,21,13.768402166450382,12.391261749728812,9.46273204196933,14.910919650855956,-1.1425174844055705,104.0,0.7079343795776367,0.09956709956709957,1.0
M04,qrs_dur_err_ms,21,13.256746714570065,11.790812289978765,9.063764987363486,14.910919650855956,-1.65417293628589,111.0,0.8917322158813477,0.03896103896103896,1.0
M_FE,qrs_dur_err_ms,21,12.425027182408014,14.133464513840265,8.54686844262456,14.910919650855956,-2.4858924684479455,83.0,0.27221012115478516,-0.2813852813852814,1.0
B02,qrs_dur_err_ms,21,12.385080299824343,10.731766110616398,7.377777777777777,14.910919650855956,-2.5258393510316157,100.0,0.6091489791870117,-0.1341991341991342,1.0
B01,qrs_dur_err_ms,21,9.956924584895821,9.807073861736937,7.115803136614377,14.910919650855956,-4.953995065960138,66.0,0.08879852294921875,-0.42857142857142855,1.0
