probe,record,seg,method,halluc_energy,gap_s,beat_type,beat_cc,n_beats
p3,S028,0,M05,,,V,0.9866254979709724,5.0
p3,S028,0,B01,,,N,0.9802597430116332,65.0
p3,S028,0,B01,,,V,0.9908053018131715,5.0
p3,S028,0,M06,,,N,0.9922403863925343,65.0
p3,S028,0,M06,,,V,0.9922749100719898,5.0
p3,S028,0,M07,,,N,0.9919944640783823,65.0
p3,S028,0,M07,,,V,0.9935384247544269,5.0
p3,S028,0,M08,,,N,0.9921311231155042,65.0
p3,S028,0,M08,,,V,0.9909528879127913,5.0
p3,S029,0,M00,,,N,0.9690088030205829,76.0
p3,S029,0,M_FE,,,N,0.9715897076088645,76.0
p3,S029,0,M01,,,N,0.9226117402657115,76.0
p3,S029,0,M04,,,N,0.972540622147189,76.0
p3,S029,0,M05,,,N,0.9791108402497575,76.0
p3,S029,0,B01,,,N,0.980453571409637,76.0
p3,S029,0,M06,,,N,0.9770626637850416,76.0
p3,S029,0,M07,,,N,0.9772953597508861,76.0
p3,S029,0,M08,,,N,0.9834282509825419,76.0
p3,S030,0,M00,,,N,0.9206605539761852,83.0
