rep,noise,true_snr,true_snr_eff,fe,estimator,est,err,lag1,artf,warn_corr
3,mixed,15,15.0,False,snr_beat_residual_db,11.527833541219202,-3.472166458780798,0.6411342497697111,0.11931818181818182,1.0
3,mixed,15,15.0,False,snr_hsc_db,15.737974577305945,0.7379745773059447,0.6411342497697111,0.11931818181818182,1.0
3,mixed,15,15.0,False,snr_isoelectric_db,17.76277629436787,2.762776294367871,0.6411342497697111,0.11931818181818182,1.0
3,mixed,20,20.0,False,snr_beat_residual_db,11.547456454940308,-8.452543545059692,0.5823247002950047,0.17045454545454544,1.0
3,mixed,20,20.0,False,snr_hsc_db,12.622061028496356,-7.377938971503644,0.5823247002950047,0.17045454545454544,1.0
3,mixed,20,20.0,False,snr_isoelectric_db,16.233819845965737,-3.766180154034263,0.5823247002950047,0.17045454545454544,1.0
4,awgn,0,0.0,False,snr_beat_residual_db,-1.8797622260233249,-1.8797622260233249,0.06605433262055928,0.04,0.0
4,awgn,0,0.0,False,snr_hsc_db,-1.733002474221641,-1.733002474221641,0.06605433262055928,0.04,0.0
4,awgn,0,0.0,False,snr_isoelectric_db,0.4739891055009404,0.4739891055009404,0.06605433262055928,0.04,0.0
4,awgn,5,5.0,False,snr_beat_residual_db,3.5411071975301764,-1.4588928024698236,0.16300274202082354,0.005847953216374269,1.0
4,awgn,5,5.0,False,snr_hsc_db,3.348946824165572,-1.651053175834428,0.16300274202082354,0.005847953216374269,1.0
4,awgn,5,5.0,False,snr_isoelectric_db,5.067511492030231,0.06751149203023132,0.16300274202082354,0.005847953216374269,1.0
4,awgn,10,10.0,False,snr_beat_residual_db,7.933992388790196,-2.0660076112098036,0.35894290339534624,0.023391812865497075,1.0
4,awgn,10,10.0,False,snr_hsc_db,7.960162055249792,-2.039837944750208,0.35894290339534624,0.023391812865497075,1.0
4,awgn,10,10.0,False,snr_isoelectric_db,9.323155348360132,-0.6768446516398683,0.35894290339534624,0.023391812865497075,1.0
4,awgn,15,15.0,False,snr_beat_residual_db,11.367818184344902,-3.6321818156550982,0.543273751705553,0.017543859649122806,1.0
4,awgn,15,15.0,False,snr_hsc_db,12.640434646338383,-2.3595653536616172,0.543273751705553,0.017543859649122806,1.0
4,awgn,15,15.0,False,snr_isoelectric_db,13.046497986394838,-1.9535020136051617,0.543273751705553,0.017543859649122806,1.0
4,awgn,20,20.0,False,snr_beat_residual_db,13.435435934869528,-6.564564065130472,0.6676629590663639,0.03508771929824561,1.0
4,awgn,20,20.0,False,snr_hsc_db,14.840556133841227,-5.159443866158773,0.6676629590663639,0.03508771929824561,1.0
4,awgn,20,20.0,False,snr_isoelectric_db,15.34794651169111,-4.652053488308891,0.6676629590663639,0.03508771929824561,1.0
4,pli,0,0.0,False,snr_beat_residual_db,11.764167079938321,11.764167079938321,0.5841797911202591,0.0,1.0
4,pli,0,0.0,False,snr_hsc_db,14.243923359357101,14.243923359357101,0.5841797911202591,0.0,1.0
4,pli,0,0.0,False,snr_isoelectric_db,-0.09859323579432701,-0.09859323579432701,0.5841797911202591,0.0,1.0
