axis,snr_db,record,seg,contrast_db,sign
D1 실데이터,10,113,1,1.976,딥러닝 우세
D1 실데이터,10,117,0,5.719,딥러닝 우세
D1 실데이터,10,117,1,1.862,딥러닝 우세
D1 실데이터,10,121,0,8.018,딥러닝 우세
D1 실데이터,10,121,1,3.812,딥러닝 우세
D1 실데이터,10,123,0,2.288,딥러닝 우세
D1 실데이터,10,123,1,1.932,딥러닝 우세
D1 실데이터,10,200,0,0.635,딥러닝 우세
D1 실데이터,10,200,1,-6.574,front-end 우세
D1 실데이터,10,202,0,2.304,딥러닝 우세
D1 실데이터,10,202,1,3.298,딥러닝 우세
D1 실데이터,10,210,0,9.676,딥러닝 우세
D1 실데이터,10,210,1,-8.376,front-end 우세
D1 실데이터,10,212,0,1.161,딥러닝 우세
D1 실데이터,10,212,1,-2.669,front-end 우세
D1 실데이터,10,213,0,3.82,딥러닝 우세
D1 실데이터,10,213,1,9.704,딥러닝 우세
D1 실데이터,10,214,0,12.31,딥러닝 우세
D1 실데이터,10,214,1,10.478,딥러닝 우세
D1 실데이터,10,219,0,12.306,딥러닝 우세
D1 실데이터,10,219,1,8.324,딥러닝 우세
D1 실데이터,10,221,0,4.662,딥러닝 우세
D1 실데이터,10,221,1,5.769,딥러닝 우세
D1 실데이터,10,222,0,-0.985,front-end 우세
D1 실데이터,10,222,1,-21.919,front-end 우세
D1 실데이터,10,228,0,-16.819,front-end 우세
D1 실데이터,10,228,1,-0.267,front-end 우세
D1 실데이터,10,231,0,6.589,딥러닝 우세
D1 실데이터,10,231,1,0.984,딥러닝 우세
D1 실데이터,10,232,0,3.827,딥러닝 우세
D1 실데이터,10,232,1,-7.003,front-end 우세
D1 실데이터,10,233,0,9.874,딥러닝 우세
D1 실데이터,10,233,1,9.724,딥러닝 우세
D1 실데이터,10,234,0,10.668,딥러닝 우세
D1 실데이터,10,234,1,7.125,딥러닝 우세
D1 실데이터,15,100,0,-8.893,front-end 우세
D1 실데이터,15,100,1,-0.996,front-end 우세
D1 실데이터,15,103,0,-7.13,front-end 우세
D1 실데이터,15,103,1,-9.395,front-end 우세
D1 실데이터,15,105,0,8.891,딥러닝 우세
D1 실데이터,15,105,1,-23.971,front-end 우세
D1 실데이터,15,111,0,-6.408,front-end 우세
D1 실데이터,15,111,1,3.606,딥러닝 우세
D1 실데이터,15,113,0,9.368,딥러닝 우세
D1 실데이터,15,113,1,-0.132,front-end 우세
D1 실데이터,15,117,0,4.277,딥러닝 우세
D1 실데이터,15,117,1,0.308,딥러닝 우세
D1 실데이터,15,121,0,4.608,딥러닝 우세
D1 실데이터,15,121,1,-0.703,front-end 우세
D1 실데이터,15,123,0,0.539,딥러닝 우세
D1 실데이터,15,123,1,0.035,딥러닝 우세
D1 실데이터,15,200,0,-1.745,front-end 우세
D1 실데이터,15,200,1,-11.554,front-end 우세
D1 실데이터,15,202,0,0.691,딥러닝 우세
D1 실데이터,15,202,1,1.498,딥러닝 우세
D1 실데이터,15,210,0,6.586,딥러닝 우세
D1 실데이터,15,210,1,-13.363,front-end 우세
D1 실데이터,15,212,0,-0.557,front-end 우세
D1 실데이터,15,212,1,-7.534,front-end 우세
D1 실데이터,15,213,0,2.321,딥러닝 우세
D1 실데이터,15,213,1,7.549,딥러닝 우세
D1 실데이터,15,214,0,9.41,딥러닝 우세
D1 실데이터,15,214,1,8.076,딥러닝 우세
D1 실데이터,15,219,0,9.684,딥러닝 우세
D1 실데이터,15,219,1,6.835,딥러닝 우세
D1 실데이터,15,221,0,1.98,딥러닝 우세
D1 실데이터,15,221,1,3.436,딥러닝 우세
D1 실데이터,15,222,0,-5.45,front-end 우세
D1 실데이터,15,222,1,-26.916,front-end 우세
D1 실데이터,15,228,0,-21.798,front-end 우세
D1 실데이터,15,228,1,-2.415,front-end 우세
D1 실데이터,15,231,0,5.123,딥러닝 우세
D1 실데이터,15,231,1,-0.39,front-end 우세
D1 실데이터,15,232,0,-0.621,front-end 우세
D1 실데이터,15,232,1,-11.496,front-end 우세
D1 실데이터,15,233,0,6.801,딥러닝 우세
D1 실데이터,15,233,1,5.9,딥러닝 우세
D1 실데이터,15,234,0,8.138,딥러닝 우세
D1 실데이터,15,234,1,5.587,딥러닝 우세
