axis,axis_tag,noise,method,snr_in_db,snr_imp_db
D1 실데이터,d1,근전도(MA),M05,10,11.194
D1 실데이터,d1,근전도(MA),M05f,10,8.851
D1 실데이터,d1,근전도(MA),M06,10,13.105
D1 실데이터,d1,근전도(MA),M07,10,12.094
D1 실데이터,d1,근전도(MA),M08,10,14.004
D1 실데이터,d1,근전도(MA),M09,10,13.121
D1 실데이터,d1,근전도(MA),M10,10,12.032
D1 실데이터,d1,근전도(MA),M_FE,10,4.079
D1 실데이터,d1,혼합,B01,10,14.006
D1 실데이터,d1,혼합,B02,10,12.526
D1 실데이터,d1,혼합,M00,10,1.17
D1 실데이터,d1,혼합,M01,10,10.449
D1 실데이터,d1,혼합,M02,10,8.804
D1 실데이터,d1,혼합,M03,10,8.523
D1 실데이터,d1,혼합,M04,10,10.414
D1 실데이터,d1,혼합,M04np,10,10.414
D1 실데이터,d1,혼합,M05,10,8.499
D1 실데이터,d1,혼합,M05f,10,7.308
D1 실데이터,d1,혼합,M06,10,12.112
D1 실데이터,d1,혼합,M07,10,11.176
D1 실데이터,d1,혼합,M08,10,12.456
D1 실데이터,d1,혼합,M09,10,12.037
D1 실데이터,d1,혼합,M10,10,11.356
D1 실데이터,d1,혼합,M_FE,10,9.91
D1 실데이터,d1,전원선 60Hz,B01,10,29.951
D1 실데이터,d1,전원선 60Hz,B02,10,36.804
D1 실데이터,d1,전원선 60Hz,M00,10,1.155
D1 실데이터,d1,전원선 60Hz,M01,10,21.563
D1 실데이터,d1,전원선 60Hz,M02,10,13.576
D1 실데이터,d1,전원선 60Hz,M03,10,14.044
D1 실데이터,d1,전원선 60Hz,M04,10,28.759
D1 실데이터,d1,전원선 60Hz,M04np,10,28.759
D1 실데이터,d1,전원선 60Hz,M05,10,12.414
D1 실데이터,d1,전원선 60Hz,M05f,10,11.029
D1 실데이터,d1,전원선 60Hz,M06,10,16.124
D1 실데이터,d1,전원선 60Hz,M07,10,13.894
D1 실데이터,d1,전원선 60Hz,M08,10,17.681
D1 실데이터,d1,전원선 60Hz,M09,10,17.146
D1 실데이터,d1,전원선 60Hz,M10,10,14.601
D1 실데이터,d1,전원선 60Hz,M_FE,10,23.427
