axis,axis_tag,model,noise,snr_db,delta_db,p_holm,verdict
D1 실데이터,d1,M06,백색잡음,20,1.164,1.3672666455022409e-05,이득
D1 실데이터,d1,M06,전원선 60Hz,20,9.078,8.507186066708528e-10,이득
D1 실데이터,d1,M06,기저선 변동,20,9.752,8.507186066708528e-10,이득
D1 실데이터,d1,M06,근전도(MA),20,2.618,1.793694082152797e-08,이득
D1 실데이터,d1,M06,전극 움직임(EM),20,2.379,2.228339326393325e-07,이득
D1 실데이터,d1,M06,임펄스,20,1.914,8.179178018963285e-05,이득
D1 실데이터,d1,M06,혼합,20,3.337,3.2889010981307365e-07,이득
D1 실데이터,d1,M06,백색잡음,25,2.017,2.2866095150675392e-07,이득
D1 실데이터,d1,M06,전원선 60Hz,25,11.138,7.194103091023862e-10,이득
D1 실데이터,d1,M06,기저선 변동,25,11.896,7.291873771464452e-10,이득
D1 실데이터,d1,M06,근전도(MA),25,3.474,3.9549377106595784e-09,이득
D1 실데이터,d1,M06,전극 움직임(EM),25,4.786,3.9549377106595784e-09,이득
D1 실데이터,d1,M06,임펄스,25,3.053,2.875253812817391e-08,이득
D1 실데이터,d1,M06,혼합,25,5.081,3.752802513190545e-09,이득
D1 실데이터,d1,M08,백색잡음,-5,-0.157,0.032720659822075504,손해
D1 실데이터,d1,M08,전원선 60Hz,-5,1.877,0.0005756389941780071,이득
D1 실데이터,d1,M08,기저선 변동,-5,-0.591,0.00017705851973914832,손해
D1 실데이터,d1,M08,근전도(MA),-5,1.445,7.958078640513122e-13,이득
D1 실데이터,d1,M08,전극 움직임(EM),-5,0.927,1.8560406715550926e-05,이득
D1 실데이터,d1,M08,임펄스,-5,0.339,0.0748677049273283,n.s.
D1 실데이터,d1,M08,혼합,-5,0.015,0.5059169405730017,n.s.
D1 실데이터,d1,M08,백색잡음,0,-0.141,0.5563993179998761,n.s.
D1 실데이터,d1,M08,전원선 60Hz,0,1.776,0.009319823766873014,이득
D1 실데이터,d1,M08,기저선 변동,0,-0.204,0.5563993179998761,n.s.
D1 실데이터,d1,M08,근전도(MA),0,1.025,2.3535380933026318e-07,이득
D1 실데이터,d1,M08,전극 움직임(EM),0,0.349,0.3651244859520375,n.s.
D1 실데이터,d1,M08,임펄스,0,0.365,0.3651244859520375,n.s.
D1 실데이터,d1,M08,혼합,0,-0.1,0.3651244859520375,n.s.
D1 실데이터,d1,M08,백색잡음,5,-0.026,1.0,n.s.
D1 실데이터,d1,M08,전원선 60Hz,5,2.0,0.01773611017370058,이득
D1 실데이터,d1,M08,기저선 변동,5,0.979,0.04084367095742891,이득
D1 실데이터,d1,M08,근전도(MA),5,0.714,0.0027497816907953165,이득
D1 실데이터,d1,M08,전극 움직임(EM),5,-0.284,0.2698801601895866,n.s.
D1 실데이터,d1,M08,임펄스,5,0.055,1.0,n.s.
D1 실데이터,d1,M08,혼합,5,-0.191,0.2698801601895866,n.s.
D1 실데이터,d1,M08,백색잡음,10,0.12,0.4424854641067668,n.s.
D1 실데이터,d1,M08,전원선 60Hz,10,2.616,0.002240428943423467,이득
D1 실데이터,d1,M08,기저선 변동,10,2.878,7.745193909158843e-05,이득
D1 실데이터,d1,M08,근전도(MA),10,0.583,0.043949058994599,이득
D1 실데이터,d1,M08,전극 움직임(EM),10,-0.367,0.2627836424121597,n.s.
D1 실데이터,d1,M08,임펄스,10,-0.216,0.4424854641067668,n.s.
D1 실데이터,d1,M08,혼합,10,-0.069,0.4424854641067668,n.s.
D1 실데이터,d1,M08,백색잡음,15,-0.099,1.0,n.s.
D1 실데이터,d1,M08,전원선 60Hz,15,4.154,4.71506793928711e-05,이득
D1 실데이터,d1,M08,기저선 변동,15,5.182,2.088292148982873e-06,이득
D1 실데이터,d1,M08,근전도(MA),15,0.455,0.18716926231832076,n.s.
D1 실데이터,d1,M08,전극 움직임(EM),15,0.041,1.0,n.s.
D1 실데이터,d1,M08,임펄스,15,-0.366,1.0,n.s.
D1 실데이터,d1,M08,혼합,15,0.289,1.0,n.s.
D1 실데이터,d1,M08,백색잡음,20,-0.53,0.1674785098166467,n.s.
D1 실데이터,d1,M08,전원선 60Hz,20,6.764,4.194525217826595e-06,이득
D1 실데이터,d1,M08,기저선 변동,20,7.549,1.6006266605472774e-06,이득
D1 실데이터,d1,M08,근전도(MA),20,0.595,0.1674785098166467,n.s.
D1 실데이터,d1,M08,전극 움직임(EM),20,1.031,0.03264882732423757,이득
D1 실데이터,d1,M08,임펄스,20,0.1,0.9861753681161645,n.s.
D1 실데이터,d1,M08,혼합,20,1.204,0.05963594607601408,n.s.
D1 실데이터,d1,M08,백색잡음,25,-0.056,0.9677495535080425,n.s.
D1 실데이터,d1,M08,전원선 60Hz,25,8.946,1.6006266605472774e-06,이득
D1 실데이터,d1,M08,기저선 변동,25,9.768,1.6006266605472774e-06,이득
D1 실데이터,d1,M08,근전도(MA),25,1.045,0.04472695955701056,이득
D1 실데이터,d1,M08,전극 움직임(EM),25,2.99,1.5467005596292438e-05,이득
D1 실데이터,d1,M08,임펄스,25,1.05,0.04472695955701056,이득
D1 실데이터,d1,M08,혼합,25,2.671,0.0007561909733340144,이득
