method,snr_in,metric,mean,std,n_records,loss,model,frontend,ckpt_git
M08-L1,10.0,qrs_dur_err_ms,11.89522890975507,11.834806247578848,21,L1,wavelet_unet,True,bdc7b90
M08-L3,10.0,qrs_dur_err_ms,13.379046581619228,14.087937788527425,21,L3,wavelet_unet,True,bdc7b90
M08-L4,10.0,qrs_dur_err_ms,10.98760070033953,11.475453546888312,21,L4,wavelet_unet,True,bdc7b90
M08-L5,10.0,qrs_dur_err_ms,12.681259962525514,15.879966731008537,21,L5,wavelet_unet,True,5a77e1f
M08-L6,10.0,qrs_dur_err_ms,11.752090286872178,10.126584362369114,21,L6,wavelet_unet,True,a7413c7
M_FE,10.0,qrs_dur_err_ms,9.35458817969311,9.424783103732105,21,,,,
M06-L1,20.0,qrs_dur_err_ms,14.00883614976286,15.937577048250722,21,L1,resunet1d,True,bdc7b90
M06-L2,20.0,qrs_dur_err_ms,10.506380301168592,18.06658107612538,21,L2,resunet1d,True,bdc7b90
M06-L3,20.0,qrs_dur_err_ms,11.838878604197005,19.578216732604087,21,L3,resunet1d,True,bdc7b90
M06-L5,20.0,qrs_dur_err_ms,7.464319936947815,8.83255632962421,21,L5,resunet1d,True,b8d3816
M06-L6,20.0,qrs_dur_err_ms,7.774401581497221,12.975845712925622,21,L6,resunet1d,True,a3aabd4
M08-L1,20.0,qrs_dur_err_ms,8.74797189555361,11.033980574557624,21,L1,wavelet_unet,True,bdc7b90
M08-L3,20.0,qrs_dur_err_ms,10.384386596127538,13.733292615297954,21,L3,wavelet_unet,True,bdc7b90
M08-L4,20.0,qrs_dur_err_ms,8.071802306214302,11.343760663054892,21,L4,wavelet_unet,True,bdc7b90
M08-L5,20.0,qrs_dur_err_ms,8.829026879943262,16.35977076887811,21,L5,wavelet_unet,True,5a77e1f
M08-L6,20.0,qrs_dur_err_ms,4.760643990900027,6.549234500981814,21,L6,wavelet_unet,True,a7413c7
M_FE,20.0,qrs_dur_err_ms,3.789251478566187,4.464873936029011,21,,,,
M06-L1,0.0,snr_imp_scaled,16.70603951256112,3.886154102532372,22,L1,resunet1d,True,bdc7b90
M06-L2,0.0,snr_imp_scaled,17.112526128267742,3.783114289675892,22,L2,resunet1d,True,bdc7b90
M06-L3,0.0,snr_imp_scaled,17.12773324841626,3.7719758484476977,22,L3,resunet1d,True,bdc7b90
M06-L5,0.0,snr_imp_scaled,17.55936344290628,4.394250993083593,22,L5,resunet1d,True,b8d3816
M06-L6,0.0,snr_imp_scaled,17.426378794191177,4.163904562033348,22,L6,resunet1d,True,a3aabd4
M08-L1,0.0,snr_imp_scaled,16.47008094124757,3.6016020332901904,22,L1,wavelet_unet,True,bdc7b90
M08-L3,0.0,snr_imp_scaled,16.5547672775437,4.168810085883856,22,L3,wavelet_unet,True,bdc7b90
M08-L4,0.0,snr_imp_scaled,15.866542186154772,4.312083677247067,22,L4,wavelet_unet,True,bdc7b90
M08-L5,0.0,snr_imp_scaled,17.235111629960258,5.006113456176162,22,L5,wavelet_unet,True,5a77e1f
M08-L6,0.0,snr_imp_scaled,16.841519622549814,4.3783346594720465,22,L6,wavelet_unet,True,a7413c7
M_FE,0.0,snr_imp_scaled,7.236591793448681,2.95776743918811,22,,,,
M06-L1,10.0,snr_imp_scaled,11.595050494396657,4.133567197136257,22,L1,resunet1d,True,bdc7b90
M06-L2,10.0,snr_imp_scaled,12.610116533511025,4.3762493850701105,22,L2,resunet1d,True,bdc7b90
M06-L3,10.0,snr_imp_scaled,12.73428131904556,4.280283778584876,22,L3,resunet1d,True,bdc7b90
M06-L5,10.0,snr_imp_scaled,13.254446563700684,4.9460574698339554,22,L5,resunet1d,True,b8d3816
M06-L6,10.0,snr_imp_scaled,13.51251972067027,5.062818385524856,22,L6,resunet1d,True,a3aabd4
M08-L1,10.0,snr_imp_scaled,12.139189690768342,3.903550466801303,22,L1,wavelet_unet,True,bdc7b90
M08-L3,10.0,snr_imp_scaled,12.24008983416026,4.959256539737674,22,L3,wavelet_unet,True,bdc7b90
M08-L4,10.0,snr_imp_scaled,12.325254755212127,5.377160132786057,22,L4,wavelet_unet,True,bdc7b90
M08-L5,10.0,snr_imp_scaled,13.389688233835654,6.108323366181444,22,L5,wavelet_unet,True,5a77e1f
M08-L6,10.0,snr_imp_scaled,12.644662020619814,5.194226119073972,22,L6,wavelet_unet,True,a7413c7
M_FE,10.0,snr_imp_scaled,5.989941972659784,3.342453183283259,22,,,,
M06-L1,20.0,snr_imp_scaled,4.426374851424,4.558352461842876,22,L1,resunet1d,True,bdc7b90
M06-L2,20.0,snr_imp_scaled,5.862239245282968,4.835737614875945,22,L2,resunet1d,True,bdc7b90
M06-L3,20.0,snr_imp_scaled,6.390976442917409,4.813460627879449,22,L3,resunet1d,True,bdc7b90
M06-L5,20.0,snr_imp_scaled,6.995845487658334,5.724122700112444,22,L5,resunet1d,True,b8d3816
M06-L6,20.0,snr_imp_scaled,9.065807703523392,6.259404060819239,22,L6,resunet1d,True,a3aabd4
M08-L1,20.0,snr_imp_scaled,6.038764257577176,4.326857433729369,22,L1,wavelet_unet,True,bdc7b90
M08-L3,20.0,snr_imp_scaled,6.061690071141367,5.616612298616906,22,L3,wavelet_unet,True,bdc7b90
M08-L4,20.0,snr_imp_scaled,6.464384690240621,6.131235063731209,22,L4,wavelet_unet,True,bdc7b90
M08-L5,20.0,snr_imp_scaled,8.528792922901186,7.207229897980494,22,L5,wavelet_unet,True,5a77e1f
M08-L6,20.0,snr_imp_scaled,9.225320070564226,6.116837220853386,22,L6,wavelet_unet,True,a7413c7
M_FE,20.0,snr_imp_scaled,6.025983012525433,3.341265023038333,22,,,,
